station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
3044,40.6800105,-73.938475,Albany Ave & Fulton St,5,7,12,active,4,24,1,1,-3,-23
3046,40.682601,-73.938037,Marcus Garvey Blvd & Macon St,15,19,34,active,6,20,8,33,2,13
3047,40.68236870000001,-73.944118,Halsey St & Tompkins Ave,16,16,32,active,7,23,5,20,-2,-3
3048,40.684020000000004,-73.94977,Putnam Ave & Nostrand Ave,17,14,31,active,6,36,4,28,-2,-8
3049,40.68488,-73.96304,Cambridge Pl & Gates Ave,18,23,41,active,11,97,3,29,-8,-68
3050,40.6851532,-73.94111,Putnam Ave & Throop Ave,18,18,36,active,9,66,0,0,-9,-66
3052,40.686312,-73.935775,Lewis Ave & Madison St,24,27,51,active,15,184,4,11,-11,-173
3053,40.6900815,-73.94791500000002,Marcy Ave & Lafayette Ave,13,8,21,active,8,28,2,14,-6,-14
3054,40.6894932,-73.942061,Greene Ave & Throop Ave,18,17,35,active,12,65,4,11,-8,-54
3055,40.68833370000001,-73.950916,Greene Ave & Nostrand Ave,9,15,24,active,4,13,2,6,-2,-7
3056,40.69072549,-73.95133465,Kosciuszko St & Nostrand Ave,8,11,19,active,3,9,3,20,0,11
3057,40.69128258,-73.9452416,Kosciuszko St & Tompkins Ave,18,16,34,active,13,74,4,10,-9,-64
3058,40.69237074,-73.93705428,Lewis Ave & Kosciuszko St,15,15,30,active,9,68,7,33,-2,-35
3059,40.693398200000004,-73.939877,Pulaski St & Marcus Garvey Blvd,9,9,18,active,6,39,3,9,-3,-30
3060,40.69425403,-73.94626915,Willoughby Ave & Tompkins Ave,15,16,31,active,7,52,4,17,-3,-35
3061,40.69622937,-73.94371094,Throop Ave & Myrtle Ave,8,10,18,active,5,25,2,14,-3,-11
3062,40.69539817,-73.94954908,Myrtle Ave & Marcy Ave,14,16,30,active,9,42,5,16,-4,-26
3063,40.69527008,-73.95238108,Nostrand Ave & Myrtle Ave,8,14,22,active,3,22,2,5,-1,-17
3064,40.69681963,-73.93756926,Myrtle Ave & Lewis Ave,36,35,71,active,16,58,12,58,-4,0
3065,40.70029511,-73.95032283,Union Ave & Wallabout St,12,16,28,active,0,0,1,4,1,4
3066,40.69957608,-73.94708417,Tompkins Ave & Hopkins St,12,15,27,active,4,10,3,12,-1,2
3067,40.7016657,-73.9437303,Broadway & Whipple St,18,20,38,active,8,66,3,19,-5,-47
3068,40.7031724,-73.940636,Humboldt St & Varet St,17,19,36,active,9,34,5,20,-4,-14
