station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind
3169,40.78720869,-73.98128127,Riverside Dr & W 82 St,0,0,0,inactive
3170,40.78499979,-73.97283406,W 84 St & Columbus Ave,139,141,280,active
3171,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,105,110,215,active
3172,40.7785669,-73.97754961,W 74 St & Columbus Ave,92,84,176,active
3173,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,127,136,263,active
3175,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,113,114,227,active
3176,40.77452835,-73.98753759,W 64 St & West End Ave,92,84,176,active
3177,40.7867947,-73.977112,W 84 St & Broadway,164,164,328,active
3178,40.78414472,-73.98362492,Riverside Dr & W 78 St,91,101,192,active
3179,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,16,11,27,active
3180,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2,26,37,63,active
3182,40.686931,-74.016966,Yankee Ferry Terminal,1,1,2,active
3221,40.743,-73.93561,47 Ave & 31 St,20,23,43,active
3222,40.68515959989177,-73.97711366415024,Hanson Pl & St Felix St,100,106,206,active
3223,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave,133,137,270,active
3224,40.73997354103409,-74.00513872504234,W 13 St & Hudson St,270,266,536,active
3226,40.78275,-73.97137,W 82 St & Central Park West,72,95,167,active
3230,40.751283596962296,-73.99692445993422,Penn Station Valet,346,187,533,active
3231,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,58,60,118,active
3232,40.68962188790333,-73.98304268717766,Bond St & Fulton St,23,36,59,active
3233,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,204,206,410,active
3235,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,106,107,213,active
3236,40.75898481399634,-73.99379968643187,W 42 St & Dyer Ave,261,106,367,active
3237,40.75383343437622,-73.94267678260802,21 St & 41 Ave,10,11,21,active
3238,40.77391390238118,-73.9543953537941,E 80 St & 2 Ave,74,74,148,active
3241,40.686203000000006,-73.944694,Monroe St & Tompkins Ave,14,16,30,active
3242,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,64,81,145,active
3243,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave,66,67,133,active
3244,40.73143724085228,-73.99490341544151,University Pl & E 8 St,130,127,257,active
3246,40.694281141397326,-73.99230033159256,Montague St & Clinton St,55,48,103,active
3249,40.680356084043396,-73.94767910242079,Verona Pl & Fulton St,16,20,36,active
3254,40.69231660719192,-74.01486575603484,Soissons Landing,5,6,11,active
3255,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,307,310,617,active
3256,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,184,190,374,active
3259,40.74937024193277,-73.99923384189607,9 Ave & W 28 St,0,0,0,inactive
3260,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,0,0,0,inactive
2000,40.70255088,-73.98940236,Front St & Washington St,111,107,218,active
2001,40.699773,-73.979927,Sands St & Navy St,12,11,23,active
2002,40.716887,-73.96319799999998,Wythe Ave & Metropolitan Ave,121,120,241,active
2003,40.73381219196632,-73.9805442094803,1 Ave & E 18 St,165,168,333,active
2004,40.724399,-74.004704,6 Ave & Broome St,128,128,256,active
2005,40.70531194,-73.97100056,Railroad Ave & Kay Ave,0,1,1,active
2006,40.76590936,-73.97634151,Central Park S & 6 Ave,233,233,466,active
2008,40.70569254,-74.01677685,Little West St & 1 Pl,216,220,436,active
2009,40.71117444,-73.99682619,Catherine St & Monroe St,70,80,150,active
2010,40.72165481,-74.00234737,Grand St & Greene St,123,120,243,active
2012,40.739445,-73.97680600000002,E 27 St & 1 Ave,157,173,330,active
2017,40.75022392,-73.97121414,E 43 St & 2 Ave,68,71,139,active
2021,40.75929124,-73.98859651,W 45 St & 8 Ave,153,156,309,active
2022,40.759107,-73.959223,E 60 St & York Ave,42,39,81,active
2023,40.75968085,-73.97031366,E 55 St & Lexington Ave,93,94,187,active
