Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
287273,1315.0,2016-03-06 12:35:00,2016-03-06 12:56:56,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,530.0,11 Ave & W 59 St,40.771522,-73.99054100000002,17609.0,Subscriber,1981.0,1.0
719222,588.0,2016-03-06 14:38:55,2016-03-06 14:48:44,530.0,11 Ave & W 59 St,40.771522,-73.99054100000002,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542,17609.0,Subscriber,1953.0,1.0
