Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
430344,605.0,2016-03-09 08:32:51,2016-03-09 08:42:57,439.0,E 4 St & 2 Ave,40.726280700000004,-73.98978041,377.0,6 Ave & Canal St,40.72243797,-74.00566443,16241.0,Subscriber,1991.0,2.0
457025,1623.0,2016-03-08 18:41:18,2016-03-08 19:08:22,447.0,8 Ave & W 52 St,40.76370739,-73.9851615,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,16241.0,Subscriber,1977.0,1.0
468062,560.0,2016-03-10 08:46:00,2016-03-10 08:55:21,453.0,W 22 St & 8 Ave,40.74475148,-73.99915362,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,16241.0,Subscriber,1976.0,1.0
502149,281.0,2016-03-09 17:39:53,2016-03-09 17:44:35,465.0,Broadway & W 41 St,40.75513557,-73.98658032,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,16241.0,Subscriber,1961.0,1.0
541027,1533.0,2016-03-11 05:35:22,2016-03-11 06:00:56,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,534.0,Water - Whitehall Plaza,40.70255065,-74.0127234,16241.0,Subscriber,1983.0,1.0
544073,480.0,2016-03-09 19:35:54,2016-03-09 19:43:54,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,16241.0,Subscriber,1984.0,1.0
544094,669.0,2016-03-09 22:12:07,2016-03-09 22:23:17,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,453.0,W 22 St & 8 Ave,40.74475148,-73.99915362,16241.0,Subscriber,1958.0,1.0
549928,1628.0,2016-03-12 16:40:31,2016-03-12 17:07:39,481.0,S 3 St & Bedford Ave,40.71260486,-73.96264403,229.0,Great Jones St,40.72743423,-73.99379025,16241.0,Customer,,0.0
579529,943.0,2016-03-08 18:23:56,2016-03-08 18:39:39,490.0,8 Ave & W 33 St,40.751551,-73.993934,447.0,8 Ave & W 52 St,40.76370739,-73.9851615,16241.0,Customer,,0.0
588315,558.0,2016-03-09 17:49:58,2016-03-09 17:59:17,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,16241.0,Subscriber,1979.0,1.0
613548,1326.0,2016-03-10 20:39:07,2016-03-10 21:01:14,498.0,Broadway & W 32 St,40.74854862,-73.98808416,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,16241.0,Subscriber,1980.0,2.0
625258,751.0,2016-03-12 10:38:53,2016-03-12 10:51:25,502.0,Henry St & Grand St,40.714215,-73.981346,336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,16241.0,Subscriber,1977.0,1.0
645772,606.0,2016-03-09 21:46:59,2016-03-09 21:57:05,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,16241.0,Subscriber,1982.0,1.0
677189,1086.0,2016-03-10 19:55:02,2016-03-10 20:13:08,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,16241.0,Subscriber,1991.0,1.0
723927,830.0,2016-03-07 19:20:29,2016-03-07 19:34:20,532.0,S 5 Pl & S 4 St,40.710451,-73.960876,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,16241.0,Subscriber,1984.0,2.0
728839,800.0,2016-03-11 17:41:41,2016-03-11 17:55:01,534.0,Water - Whitehall Plaza,40.70255065,-74.0127234,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,16241.0,Subscriber,1989.0,1.0
734824,663.0,2016-03-10 19:43:45,2016-03-10 19:54:48,537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,16241.0,Subscriber,1972.0,1.0
780229,1674.0,2016-03-10 15:19:38,2016-03-10 15:47:32,3002.0,South End Ave & Liberty St,40.711512,-74.01575600000001,304.0,Broadway & Battery Pl,40.70463334,-74.01361706,16241.0,Customer,,0.0
899468,754.0,2016-03-10 20:23:31,2016-03-10 20:36:05,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,498.0,Broadway & W 32 St,40.74854862,-73.98808416,16241.0,Subscriber,1981.0,1.0
7380,632.0,2016-03-11 14:09:15,2016-03-11 14:19:47,116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,22217.0,Subscriber,1991.0,1.0
20120,428.0,2016-03-08 10:59:48,2016-03-08 11:06:57,137.0,E 56 St & Madison Ave,40.761628,-73.972924,516.0,E 47 St & 1 Ave,40.75206862,-73.96784384,22217.0,Subscriber,1956.0,1.0
30858,996.0,2016-03-08 20:18:26,2016-03-08 20:35:02,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,22217.0,Subscriber,1987.0,1.0
31809,1161.0,2016-03-12 17:50:15,2016-03-12 18:09:36,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,22217.0,Customer,,0.0
61079,1830.0,2016-03-07 18:16:49,2016-03-07 18:47:20,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,22217.0,Customer,,0.0
89814,876.0,2016-03-10 18:07:07,2016-03-10 18:21:43,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,22217.0,Subscriber,1978.0,1.0
179562,334.0,2016-03-09 18:43:16,2016-03-09 18:48:51,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,22217.0,Subscriber,1987.0,1.0
196372,1073.0,2016-03-10 18:24:25,2016-03-10 18:42:19,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,22217.0,Subscriber,1991.0,1.0
214625,317.0,2016-03-08 16:34:25,2016-03-08 16:39:43,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,22217.0,Subscriber,1995.0,1.0
