Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
519791,832.0,2016-03-09 17:23:41,2016-03-09 17:37:33,472.0,E 32 St & Park Ave,40.745712100000006,-73.98194829,229.0,Great Jones St,40.72743423,-73.99379025,18520.0,Subscriber,1984.0,1.0
523504,493.0,2016-03-10 08:10:01,2016-03-10 08:18:15,473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,18520.0,Subscriber,1985.0,2.0
544071,443.0,2016-03-09 19:34:26,2016-03-09 19:41:49,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,362.0,Broadway & W 37 St,40.75172632,-73.98753523,18520.0,Subscriber,1985.0,1.0
555473,714.0,2016-03-12 14:11:50,2016-03-12 14:23:44,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,2010.0,Grand St & Greene St,40.72165481,-74.00234737,18520.0,Subscriber,1959.0,1.0
588109,212.0,2016-03-08 16:00:54,2016-03-08 16:04:27,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,18520.0,Subscriber,1997.0,1.0
595174,477.0,2016-03-08 09:35:56,2016-03-08 09:43:54,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,18520.0,Subscriber,1972.0,1.0
640007,241.0,2016-03-09 17:14:52,2016-03-09 17:18:54,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,472.0,E 32 St & Park Ave,40.745712100000006,-73.98194829,18520.0,Subscriber,1970.0,1.0
677352,546.0,2016-03-11 09:25:08,2016-03-11 09:34:15,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,442.0,W 27 St & 7 Ave,40.746646999999996,-73.993915,18520.0,Subscriber,1960.0,1.0
703903,1647.0,2016-03-08 17:53:54,2016-03-08 18:21:22,525.0,W 34 St & 11 Ave,40.75594159,-74.0021163,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,18520.0,Subscriber,1984.0,2.0
706456,169.0,2016-03-08 14:57:57,2016-03-08 15:00:46,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,18520.0,Subscriber,1954.0,1.0
706474,1966.0,2016-03-08 16:53:17,2016-03-08 17:26:03,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,525.0,W 34 St & 11 Ave,40.75594159,-74.0021163,18520.0,Subscriber,1963.0,1.0
740688,964.0,2016-03-11 17:31:30,2016-03-11 17:47:34,540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,18520.0,Subscriber,1988.0,1.0
754186,437.0,2016-03-09 18:56:27,2016-03-09 19:03:44,2003.0,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,382.0,University Pl & E 14 St,40.73492695,-73.99200509,18520.0,Subscriber,1981.0,1.0
11670,531.0,2016-03-06 17:42:19,2016-03-06 17:51:11,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,23578.0,Subscriber,1994.0,1.0
31150,691.0,2016-03-10 08:34:34,2016-03-10 08:46:05,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,534.0,Water - Whitehall Plaza,40.70255065,-74.0127234,23578.0,Subscriber,1992.0,1.0
49250,422.0,2016-03-09 00:00:30,2016-03-09 00:07:32,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,474.0,5 Ave & E 29 St,40.7451677,-73.98683077,23578.0,Subscriber,1983.0,1.0
